branch,R,run_id,step,seed,beta,r2,positive_bins,final_gap,identifiable,source
bigram,1,s1v5_128_tbl_bi1_R1,1000,42,0.5457594655457292,0.9687259361333165,4,0.01598215103149414,False,data/runs_scaling/s1v5_128_tbl_bi1_R1_fixed/exact_freq_loss.jsonl
bigram,2,s1v5_128_tbl_bi1_R2,1000,42,0.3950563755571327,0.866620429305647,4,-0.004271507263183594,False,data/runs_scaling/s1v5_128_tbl_bi1_R2_fixed/exact_freq_loss.jsonl
bigram,5,s1v5_128_tbl_bi1_R5,1000,42,0.593602466153248,0.9046543905305557,4,0.021609187126159668,False,data/runs_scaling/s1v5_128_tbl_bi1_R5_fixed/exact_freq_loss.jsonl
bigram,10,s1v5_128_tbl_bi1_R10,1000,42,0.9744346244788931,0.8423848324351697,4,0.031043171882629395,False,data/runs_scaling/s1v5_128_tbl_bi1_R10_fixed/exact_freq_loss.jsonl
bigram,22,s1v5_128_tbl_bi1_R22,1000,42,0.5993370453312108,0.9079331156377836,4,0.045944809913635254,False,data/runs_scaling/s1v5_128_tbl_bi1_R22_fixed/exact_freq_loss.jsonl
bigram,46,s1v5_128_tbl_bi1_R46,1000,42,0.32815857534603665,0.41732355194032744,5,-0.006175518035888672,False,data/runs_scaling/s1v5_128_tbl_bi1_R46_fixed/exact_freq_loss.jsonl
bigram,100,s1v5_128_tbl_bi1_R100,1000,42,0.20133281650966536,0.3816214592517957,5,0.03310549259185791,False,data/runs_scaling/s1v5_128_tbl_bi1_R100_fixed/exact_freq_loss.jsonl
bigram,215,s1v5_128_tbl_bi1_R215,1000,42,0.36815709601632546,0.8273448676324767,5,0.061052799224853516,False,data/runs_scaling/s1v5_128_tbl_bi1_R215_fixed/exact_freq_loss.jsonl
bigram,464,s1v5_128_tbl_bi1_R464,1000,42,0.20213843353614158,0.18106282864414136,5,0.06396806240081787,False,data/runs_scaling/s1v5_128_tbl_bi1_R464_fixed/exact_freq_loss.jsonl
bigram,1000,s1v5_128_tbl_bi1_R1000,1000,42,0.20150266571743158,0.3270667442052392,5,0.07600414752960205,False,data/runs_scaling/s1v5_128_tbl_bi1_R1000_fixed/exact_freq_loss.jsonl
bigram,2154,s1v5_128_tbl_bi1_R2154,1000,42,0.38596965651620113,0.4522723316141991,6,0.06107449531555176,False,data/runs_scaling/s1v5_128_tbl_bi1_R2154_fixed/exact_freq_loss.jsonl
bigram,4642,s1v5_128_tbl_bi1_R4642,1000,42,0.32893157519575905,0.5729776539654938,7,0.08185064792633057,False,data/runs_scaling/s1v5_128_tbl_bi1_R4642_fixed/exact_freq_loss.jsonl
bigram,10000,s1v5_128_tbl_bi1_R10000,1000,42,0.3579798769078362,0.5679976735506613,7,0.11939311027526855,False,data/runs_scaling/s1v5_128_tbl_bi1_R10000_fixed/exact_freq_loss.jsonl
bigram,16000,s1v5_128_tbl_bi1_R16000,1000,42,0.2606259592384985,0.562623254246341,7,0.14333128929138184,False,data/runs_scaling/s1v5_128_tbl_bi1_R16000_fixed/exact_freq_loss.jsonl
bigram,22000,s1v5_128_tbl_bi1_R22000,1000,42,0.22501692389624323,0.7696392548496839,7,0.1742309331893921,False,data/runs_scaling/s1v5_128_tbl_bi1_R22000_fixed/exact_freq_loss.jsonl
bigram,30000,s1v5_128_tbl_bi1_R30000,1000,42,0.314723320721817,0.94517651447169,7,0.21181464195251465,False,data/runs_scaling/s1v5_128_tbl_bi1_R30000_fixed/exact_freq_loss.jsonl
bigram,41000,s1v5_128_tbl_bi1_R41000,1000,42,0.31443977838174286,0.9278796167426319,7,0.22450900077819824,False,data/runs_scaling/s1v5_128_tbl_bi1_R41000_fixed/exact_freq_loss.jsonl
bigram,56000,s1v5_128_tbl_bi1_R56000,1000,42,0.23508277162498906,0.8831375203301258,7,0.31169867515563965,False,data/runs_scaling/s1v5_128_tbl_bi1_R56000_fixed/exact_freq_loss.jsonl
bigram,76000,s1v5_128_tbl_bi1_R76000,1000,42,0.2596470388167775,0.9103717364774572,7,0.32710742950439453,True,data/runs_scaling/s1v5_128_tbl_bi1_R76000_fixed/exact_freq_loss.jsonl
bigram,104000,s1v5_128_tbl_bi1_R104000,1000,42,0.2825517364532658,0.9678260366187558,7,0.4058583974838257,True,data/runs_scaling/s1v5_128_tbl_bi1_R104000_fixed/exact_freq_loss.jsonl
bigram,142000,s1v5_128_tbl_bi1_R142000,1000,42,0.29485713141851055,0.9619015488524466,7,0.461300253868103,True,data/runs_scaling/s1v5_128_tbl_bi1_R142000_fixed/exact_freq_loss.jsonl
bigram,194000,s1v5_128_tbl_bi1_R194000,1000,42,0.31588744911104594,0.9640905565550825,7,0.5589419603347778,True,data/runs_scaling/s1v5_128_tbl_bi1_R194000_fixed/exact_freq_loss.jsonl
bigram,265000,s1v5_128_tbl_bi1_R265000,1000,42,0.32248072646470394,0.9289181755635153,7,0.6187242269515991,True,data/runs_scaling/s1v5_128_tbl_bi1_R265000_fixed/exact_freq_loss.jsonl
bigram,362000,s1v5_128_tbl_bi1_R362000,1000,42,0.3717485332647813,0.9737593911367725,7,0.7264736890792847,True,data/runs_scaling/s1v5_128_tbl_bi1_R362000_fixed/exact_freq_loss.jsonl
bigram,494000,s1v5_128_tbl_bi1_R494000,1000,42,0.39629200692416366,0.9886276329061565,7,0.8131966590881348,True,data/runs_scaling/s1v5_128_tbl_bi1_R494000_fixed/exact_freq_loss.jsonl
