run,L,module,align,seed,final_gap,epb
ep_L1_bigram_fe_fixed,L1,bigram,fe,42,0.5962,42
ep_L1_bigram_fe_s43_fixed,L1,bigram,fe,43,0.8624,42
ep_L1_bigram_fe_s44_fixed,L1,bigram,fe,44,0.6177,42
ep_L1_bigram_fs_fixed,L1,bigram,fs,42,5.0992,42
ep_L1_bigram_fs_s43_fixed,L1,bigram,fs,43,2.3222,42
ep_L1_bigram_fs_s44_fixed,L1,bigram,fs,44,1.9762,42
ep_L1_both_fe_fixed,L1,both,fe,42,0.9937,42
ep_L1_both_fe_s43_fixed,L1,both,fe,43,1.7862,42
ep_L1_both_fe_s44_fixed,L1,both,fe,44,1.8999,42
ep_L1_both_fs_fixed,L1,both,fs,42,10.8377,42
ep_L1_both_fs_s43_fixed,L1,both,fs,43,2.849,42
ep_L1_both_fs_s44_fixed,L1,both,fs,44,11.5049,42
ep_L1_nogram_fe_fixed,L1,nogram,fe,42,0.0481,42
ep_L1_nogram_fe_s43_fixed,L1,nogram,fe,43,0.053,42
ep_L1_nogram_fe_s44_fixed,L1,nogram,fe,44,0.0225,42
ep_L1_nogram_fs_fixed,L1,nogram,fs,42,0.1144,42
ep_L1_nogram_fs_s43_fixed,L1,nogram,fs,43,0.1816,42
ep_L1_nogram_fs_s44_fixed,L1,nogram,fs,44,0.4744,42
ep_L1_trigram_fe_fixed,L1,trigram,fe,42,0.4672,42
ep_L1_trigram_fe_s43_fixed,L1,trigram,fe,43,0.7089,42
ep_L1_trigram_fe_s44_fixed,L1,trigram,fe,44,0.8893,42
ep_L1_trigram_fs_fixed,L1,trigram,fs,42,1.4856,42
ep_L1_trigram_fs_s43_fixed,L1,trigram,fs,43,1.2865,42
ep_L1_trigram_fs_s44_fixed,L1,trigram,fs,44,1.906,42
ep_L2_bigram_fe_fixed,L2,bigram,fe,42,1.1734,84
ep_L2_bigram_fe_s43_fixed,L2,bigram,fe,43,1.0728,84
ep_L2_bigram_fe_s44_fixed,L2,bigram,fe,44,1.1112,84
ep_L2_bigram_fs_fixed,L2,bigram,fs,42,2.2927,84
ep_L2_bigram_fs_s43_fixed,L2,bigram,fs,43,1.91,84
ep_L2_bigram_fs_s44_fixed,L2,bigram,fs,44,1.7839,84
ep_L2_both_fe_fixed,L2,both,fe,42,1.8799,84
ep_L2_both_fe_s43_fixed,L2,both,fe,43,2.2262,84
ep_L2_both_fe_s44_fixed,L2,both,fe,44,2.1796,84
ep_L2_both_fs_fixed,L2,both,fs,42,6.1631,84
ep_L2_both_fs_s43_fixed,L2,both,fs,43,4.4146,84
ep_L2_both_fs_s44_fixed,L2,both,fs,44,6.9225,84
ep_L2_nogram_fe_fixed,L2,nogram,fe,42,0.046,84
ep_L2_nogram_fe_s43_fixed,L2,nogram,fe,43,0.0452,84
ep_L2_nogram_fe_s44_fixed,L2,nogram,fe,44,0.0426,84
ep_L2_nogram_fs_fixed,L2,nogram,fs,42,0.0251,84
ep_L2_nogram_fs_s43_fixed,L2,nogram,fs,43,0.3739,84
ep_L2_nogram_fs_s44_fixed,L2,nogram,fs,44,0.1879,84
ep_L2_trigram_fe_fixed,L2,trigram,fe,42,0.8534,84
ep_L2_trigram_fe_s43_fixed,L2,trigram,fe,43,0.675,84
ep_L2_trigram_fe_s44_fixed,L2,trigram,fe,44,0.9004,84
ep_L2_trigram_fs_fixed,L2,trigram,fs,42,1.1526,84
ep_L2_trigram_fs_s43_fixed,L2,trigram,fs,43,4.3963,84
ep_L2_trigram_fs_s44_fixed,L2,trigram,fs,44,4.9053,84
ep_L3_bigram_fe_fixed,L3,bigram,fe,42,1.8614,168
ep_L3_bigram_fe_s43_fixed,L3,bigram,fe,43,1.0492,168
ep_L3_bigram_fe_s44_fixed,L3,bigram,fe,44,1.0792,168
ep_L3_bigram_fs_fixed,L3,bigram,fs,42,1.6311,168
ep_L3_bigram_fs_s43_fixed,L3,bigram,fs,43,1.1161,168
ep_L3_bigram_fs_s44_fixed,L3,bigram,fs,44,1.0774,168
ep_L3_both_fe_fixed,L3,both,fe,42,5.9372,168
ep_L3_both_fe_s43_fixed,L3,both,fe,43,4.6864,168
ep_L3_both_fe_s44_fixed,L3,both,fe,44,4.1733,168
ep_L3_both_fs_fixed,L3,both,fs,42,2.1275,168
ep_L3_both_fs_s43_fixed,L3,both,fs,43,2.6565,168
ep_L3_both_fs_s44_fixed,L3,both,fs,44,5.2925,168
ep_L3_nogram_fe_fixed,L3,nogram,fe,42,0.0473,168
ep_L3_nogram_fe_s43_fixed,L3,nogram,fe,43,0.0319,168
ep_L3_nogram_fe_s44_fixed,L3,nogram,fe,44,0.0813,168
ep_L3_nogram_fs_fixed,L3,nogram,fs,42,0.0271,168
ep_L3_nogram_fs_s43_fixed,L3,nogram,fs,43,0.0641,168
ep_L3_nogram_fs_s44_fixed,L3,nogram,fs,44,0.0493,168
ep_L3_trigram_fe_fixed,L3,trigram,fe,42,2.2557,168
ep_L3_trigram_fe_s43_fixed,L3,trigram,fe,43,2.22,168
ep_L3_trigram_fe_s44_fixed,L3,trigram,fe,44,2.7193,168
ep_L3_trigram_fs_fixed,L3,trigram,fs,42,1.6681,168
ep_L3_trigram_fs_s43_fixed,L3,trigram,fs,43,1.6929,168
ep_L3_trigram_fs_s44_fixed,L3,trigram,fs,44,2.4307,168
ep_L4_bigram_fe_fixed,L4,bigram,fe,42,1.1626,337
ep_L4_bigram_fe_s43_fixed,L4,bigram,fe,43,2.166,337
ep_L4_bigram_fe_s44_fixed,L4,bigram,fe,44,1.0816,337
