run,L,module,align,probe_gap_final,online_gap_final,online-probe,corr_shared,n_shared
ep_L1_bigram_fe,L1,bigram,fe,0.6031,0.5962,-0.0069,0.9594,26
ep_L1_bigram_fs,L1,bigram,fs,5.0698,5.0992,0.0294,0.9641,100
ep_L1_both_fe,L1,both,fe,1.0079,0.9937,-0.0142,0.9652,26
ep_L1_both_fs,L1,both,fs,10.8446,10.8377,-0.0069,0.9610,100
ep_L1_nogram_fe,L1,nogram,fe,0.0639,0.0481,-0.0158,0.6621,26
ep_L1_nogram_fs,L1,nogram,fs,0.1223,0.1144,-0.0080,0.6669,100
ep_L1_trigram_fe,L1,trigram,fe,0.4810,0.4672,-0.0138,0.9335,26
ep_L1_trigram_fs,L1,trigram,fs,1.4811,1.4856,0.0045,0.7984,100
ep_L2_bigram_fe,L2,bigram,fe,1.1779,1.1734,-0.0045,0.9208,51
ep_L2_bigram_fs,L2,bigram,fs,2.2394,2.2927,0.0534,0.9482,100
ep_L2_both_fe,L2,both,fe,1.8853,1.8799,-0.0054,0.9352,51
ep_L2_both_fs,L2,both,fs,6.0760,6.1631,0.0871,0.9494,100
ep_L2_nogram_fe,L2,nogram,fe,0.0664,0.0460,-0.0204,0.6495,51
ep_L2_nogram_fs,L2,nogram,fs,0.0289,0.0251,-0.0039,0.1686,100
ep_L2_trigram_fe,L2,trigram,fe,0.8657,0.8534,-0.0123,0.8616,51
ep_L2_trigram_fs,L2,trigram,fs,1.1632,1.1526,-0.0106,0.7779,100
ep_L3_bigram_fe,L3,bigram,fe,1.8447,1.8614,0.0167,0.9341,101
ep_L3_bigram_fs,L3,bigram,fs,1.6309,1.6311,0.0003,0.9478,100
ep_L3_both_fe,L3,both,fe,5.9113,5.9372,0.0259,0.9692,101
ep_L3_both_fs,L3,both,fs,2.0769,2.1275,0.0506,0.9223,100
ep_L3_nogram_fe,L3,nogram,fe,0.0500,0.0473,-0.0027,0.3865,101
ep_L3_nogram_fs,L3,nogram,fs,0.0072,0.0271,0.0200,0.0117,100
ep_L3_trigram_fe,L3,trigram,fe,2.2188,2.2557,0.0369,0.8330,101
ep_L3_trigram_fs,L3,trigram,fs,1.5637,1.6681,0.1044,0.8672,100
ep_L4_bigram_fe,L4,bigram,fe,1.1759,1.1626,-0.0133,0.9127,203
ep_L4_bigram_fs,L4,bigram,fs,0.9406,0.9780,0.0373,0.8441,100
ep_L4_both_fe,L4,both,fe,2.2658,2.2573,-0.0085,0.9427,203
ep_L4_both_fs,L4,both,fs,0.9696,1.0125,0.0429,0.8433,100
ep_L4_nogram_fe,L4,nogram,fe,0.1974,0.1800,-0.0174,0.6055,203
ep_L4_nogram_fs,L4,nogram,fs,-0.0087,0.0287,0.0374,-0.0404,100
ep_L4_trigram_fe,L4,trigram,fe,6.0557,6.0774,0.0217,0.9486,203
ep_L4_trigram_fs,L4,trigram,fs,0.8682,0.9107,0.0425,0.7989,100
