run,seed,module,logical_2R,mult,final_gap,collision,occupancy
tbl_10_bigram_fixed,42,bigram,163840,10,0.2086,0.9768,1.0
tbl_10_both_fixed,42,both,163840,10,0.3238,0.9768,1.0
tbl_10_trigram_fixed,42,trigram,163840,10,0.3351,0.9768,1.0
tbl_12_bigram_fixed,42,bigram,196608,12,0.2223,0.9722,1.0
tbl_12_bigram_s43_fixed,43,bigram,196608,12,0.2128,0.9722,1.0
tbl_12_bigram_s44_fixed,44,bigram,196608,12,0.2265,0.9722,1.0
tbl_12_both_fixed,42,both,196608,12,0.4594,0.9722,1.0
tbl_12_both_s43_fixed,43,both,196608,12,0.3872,0.9722,1.0
tbl_12_both_s44_fixed,44,both,196608,12,0.4536,0.9722,1.0
tbl_12_trigram_fixed,42,trigram,196608,12,0.2897,0.9722,1.0
tbl_12_trigram_s43_fixed,43,trigram,196608,12,0.3714,0.9722,1.0
tbl_12_trigram_s44_fixed,44,trigram,196608,12,0.2879,0.9722,1.0
tbl_14_bigram_fixed,42,bigram,229376,14,0.2776,0.9676,1.0
tbl_14_both_fixed,42,both,229376,14,0.4324,0.9676,1.0
tbl_14_trigram_fixed,42,trigram,229376,14,0.3294,0.9676,1.0
tbl_16_bigram_fixed,42,bigram,262144,16,0.2663,0.963,1.0
tbl_16_bigram_s43_fixed,43,bigram,262144,16,0.2703,0.963,1.0
tbl_16_bigram_s44_fixed,44,bigram,262144,16,0.2497,0.963,1.0
tbl_16_both_fixed,42,both,262144,16,0.5429,0.963,1.0
tbl_16_both_s43_fixed,43,both,262144,16,0.8503,0.963,1.0
tbl_16_both_s44_fixed,44,both,262144,16,0.507,0.963,1.0
tbl_16_trigram_fixed,42,trigram,262144,16,0.3569,0.963,1.0
tbl_16_trigram_s43_fixed,43,trigram,262144,16,0.3722,0.963,1.0
tbl_16_trigram_s44_fixed,44,trigram,262144,16,0.3615,0.963,1.0
tbl_18_bigram_fixed,42,bigram,294912,18,0.2591,0.9583,1.0
tbl_18_both_fixed,42,both,294912,18,0.5714,0.9583,1.0
tbl_18_trigram_fixed,42,trigram,294912,18,0.4364,0.9583,1.0
tbl_1_bigram_fixed,42,bigram,16384,1,0.0914,0.9977,1.0
tbl_1_bigram_s43_fixed,43,bigram,16384,1,0.0683,0.9977,1.0
tbl_1_bigram_s44_fixed,44,bigram,16384,1,0.0723,0.9977,1.0
tbl_1_both_fixed,42,both,16384,1,0.0983,0.9977,1.0
tbl_1_both_s43_fixed,43,both,16384,1,0.0791,0.9977,1.0
tbl_1_both_s44_fixed,44,both,16384,1,0.0994,0.9977,1.0
tbl_1_trigram_fixed,42,trigram,16384,1,0.0686,0.9977,1.0
tbl_1_trigram_s43_fixed,43,trigram,16384,1,0.0517,0.9977,1.0
tbl_1_trigram_s44_fixed,44,trigram,16384,1,0.0723,0.9977,1.0
tbl_20_bigram_fixed,42,bigram,327680,20,0.4594,0.9537,1.0
tbl_20_both_fixed,42,both,327680,20,0.7584,0.9537,1.0
tbl_20_trigram_fixed,42,trigram,327680,20,0.4801,0.9537,1.0
tbl_24_bigram_fixed,42,bigram,393216,24,0.3386,0.9444,1.0
tbl_24_bigram_s43_fixed,43,bigram,393216,24,0.2871,0.9444,1.0
tbl_24_bigram_s44_fixed,44,bigram,393216,24,0.5154,0.9444,1.0
tbl_24_both_fixed,42,both,393216,24,0.557,0.9444,1.0
tbl_24_both_s43_fixed,43,both,393216,24,0.6096,0.9444,1.0
tbl_24_both_s44_fixed,44,both,393216,24,0.6664,0.9444,1.0
tbl_24_trigram_fixed,42,trigram,393216,24,0.4962,0.9444,1.0
tbl_24_trigram_s43_fixed,43,trigram,393216,24,0.5167,0.9444,1.0
tbl_24_trigram_s44_fixed,44,trigram,393216,24,0.5474,0.9444,1.0
tbl_28_bigram_fixed,42,bigram,458752,28,0.3239,0.9352,1.0
tbl_28_both_fixed,42,both,458752,28,0.6847,0.9352,1.0
tbl_28_trigram_fixed,42,trigram,458752,28,0.635,0.9352,1.0
tbl_2_bigram_fixed,42,bigram,32768,2,0.1021,0.9954,1.0
tbl_2_bigram_s43_fixed,43,bigram,32768,2,0.1242,0.9954,1.0
tbl_2_bigram_s44_fixed,44,bigram,32768,2,0.0973,0.9954,1.0
tbl_2_both_fixed,42,both,32768,2,0.1319,0.9954,1.0
tbl_2_both_s43_fixed,43,both,32768,2,0.0994,0.9954,1.0
tbl_2_both_s44_fixed,44,both,32768,2,0.1496,0.9954,1.0
tbl_2_trigram_fixed,42,trigram,32768,2,0.0636,0.9954,1.0
tbl_2_trigram_s43_fixed,43,trigram,32768,2,0.0888,0.9954,1.0
tbl_2_trigram_s44_fixed,44,trigram,32768,2,0.098,0.9954,1.0
tbl_32_bigram_fixed,42,bigram,524288,32,0.3032,0.9259,0.9999
tbl_32_bigram_s43_fixed,43,bigram,524288,32,0.3537,0.9259,0.9999
tbl_32_bigram_s44_fixed,44,bigram,524288,32,0.3241,0.9259,0.9999
tbl_32_both_fixed,42,both,524288,32,0.6978,0.9259,0.9999
