axis,run_id,seed,dose,steps,final_train_loss,final_val_loss,final_gap,train_shards,freq_index_sha256,source_code_revision,source
dose,nglab0_25x_input_v5_freq10,42,0.25,2000,0.03452744707465172,11.570173978805542,11.53564653173089,62,36991fa7cd3aeb9c1d425719ce3dda0559acb8267ba13da8abe6f68dd2c1ec2f,7583ae3222ffb4bbfb13262295a6a828e1f08d3f,data/runs_fixed/nglab0_25x_input_v5_freq10_fixed
dose,nglab0_5x_input_v5_freq10,42,0.5,2000,0.16881690919399261,9.402841567993164,9.234024658799171,60,3d7205a464f173daa55baf1617dff4a223cef94f82ac6d684b24d9d0611ef2b4,7583ae3222ffb4bbfb13262295a6a828e1f08d3f,data/runs_fixed/nglab0_5x_input_v5_freq10_fixed
dose,nglab0_75x_input_v5_freq10,42,0.75,2000,0.3503969609737396,8.142682313919067,7.792285352945328,63,33b8c15754052f40acb9042a540dd0b09ab7426293d21c11aae8ad3b4fdf7f5e,7583ae3222ffb4bbfb13262295a6a828e1f08d3f,data/runs_fixed/nglab0_75x_input_v5_freq10_fixed
dose,nglab1x_input_v5_freq10_r1,42,1.0,2000,0.9014020562171936,6.656151056289673,5.754749000072479,1,763a5548f75a7e326370610112fa58f61bcaa37d5a558c33caa3c7482007673d,7583ae3222ffb4bbfb13262295a6a828e1f08d3f,data/runs_fixed/nglab1x_input_v5_freq10_r1_fixed
dose,nglab1_5x_input_v5_freq10,42,1.5,2000,2.0809805393218994,4.598135352134705,2.517154812812805,"1,61",c9dd7bb52cf80bf3c409a8981b6164dfe8bd618fc0cbed2a10d275c47c6b204c,7583ae3222ffb4bbfb13262295a6a828e1f08d3f,data/runs_fixed/nglab1_5x_input_v5_freq10_fixed
dose,nglab2x_input_v5_freq10,42,2.0,2000,2.603914499282837,3.7963666319847107,1.1924521327018738,"1,2",2b550cd0c828c2019f6ebabefd9e154dfde15b9ad0c006a7ebbe9ec281c8c960,7583ae3222ffb4bbfb13262295a6a828e1f08d3f,data/runs_fixed/nglab2x_input_v5_freq10_fixed
dose,nglab2_5x_input_v5_freq10,42,2.5,2000,2.7188560962677,3.562299132347107,0.8434430360794067,"1,2,64",7637c7daa808d65de155c34b24fca656fd516f35d26b59e2980427f9abab496b,7583ae3222ffb4bbfb13262295a6a828e1f08d3f,data/runs_fixed/nglab2_5x_input_v5_freq10_fixed
dose,nglab3x_input_v5_freq10,42,3.0,2000,3.0469560623168945,3.3148728013038635,0.267916738986969,"1,2,3",34cb913dde61581ec65a5459b4cac1f67b68ee0c3006b25cf0391e4eb337e6e5,7583ae3222ffb4bbfb13262295a6a828e1f08d3f,data/runs_fixed/nglab3x_input_v5_freq10_fixed
dose,nglab4x_input_v5_freq10,42,4.0,2000,3.0342912673950195,3.2392441034317017,0.20495283603668213,"1,2,3,4",3765f9ef208274ab8f8ae6860f0515bb7319b0aa7313b562e46ce91e49d86523,7583ae3222ffb4bbfb13262295a6a828e1f08d3f,data/runs_fixed/nglab4x_input_v5_freq10_fixed
dose,nglab5x_input_v5_freq10,42,5.0,2000,3.1428935527801514,3.227115273475647,0.0842217206954956,"1,2,3,4,5",184e7ea8418694a371a9924737cb9dc7ac53826455c3bb67edb883e93993e156,7583ae3222ffb4bbfb13262295a6a828e1f08d3f,data/runs_fixed/nglab5x_input_v5_freq10_fixed
dose,nglab6x_input_v5_freq10,42,6.0,2000,3.2734673023223877,3.1853005290031433,-0.08816677331924438,"1,2,3,4,5,6",c864677f520ea3f1de437887720e4c455a304f97c546f698edba55305b7c3548,7583ae3222ffb4bbfb13262295a6a828e1f08d3f,data/runs_fixed/nglab6x_input_v5_freq10_fixed
dose,nglab8x_input_v5_freq10,42,8.0,2000,3.23028826713562,3.1548145413398743,-0.07547372579574585,"1,2,3,4,5,6,7,8",58862461fff000ceed72ee284ef57374c88826df841a76df72f1c51efae53436,7583ae3222ffb4bbfb13262295a6a828e1f08d3f,data/runs_fixed/nglab8x_input_v5_freq10_fixed
