axis,run_id,seed,dose,steps,final_train_loss,final_val_loss,final_gap,source
dose_128x,nglab0_25x_input_v5_128x_freq10,42,0.25,2000,0.15512388944625854,11.04998779296875,10.894863903522491,data/runs_fixed/nglab0_25x_input_v5_128x_freq10_fixed
dose_128x,nglab0_5x_input_v5_128x_freq10,42,0.5,2000,0.29669851064682007,9.456813097000122,9.160114586353302,data/runs_fixed/nglab0_5x_input_v5_128x_freq10_fixed
dose_128x,nglab0_75x_input_v5_128x_freq10,42,0.75,2000,0.8030645847320557,8.010131359100342,7.207066774368286,data/runs_fixed/nglab0_75x_input_v5_128x_freq10_fixed
dose_128x,nglab1x_input_v5_128x_freq10,42,1.0,2000,1.2586942911148071,6.930380463600159,5.671686172485352,data/runs_fixed/nglab1x_input_v5_128x_freq10_fixed
dose_128x,nglab1_5x_input_v5_128x_freq10,42,1.5,2000,1.8912718296051025,5.543064713478088,3.651792883872986,data/runs_fixed/nglab1_5x_input_v5_128x_freq10_fixed
dose_128x,nglab2x_input_v5_128x_freq10,42,2.0,2000,2.421724557876587,4.727221727371216,2.305497169494629,data/runs_fixed/nglab2x_input_v5_128x_freq10_fixed
dose_128x,nglab2_5x_input_v5_128x_freq10,42,2.5,2000,2.61259388923645,4.449917197227478,1.8373233079910278,data/runs_fixed/nglab2_5x_input_v5_128x_freq10_fixed
dose_128x,nglab3x_input_v5_128x_freq10,42,3.0,2000,3.2011311054229736,4.0356250405311584,0.8344939351081848,data/runs_fixed/nglab3x_input_v5_128x_freq10_fixed
dose_128x,nglab4x_input_v5_128x_freq10,42,4.0,2000,3.1860034465789795,3.825837790966034,0.6398343443870544,data/runs_fixed/nglab4x_input_v5_128x_freq10_fixed
dose_128x,nglab5x_input_v5_128x_freq10,42,5.0,2000,3.3903720378875732,3.7455833554267883,0.3552113175392151,data/runs_fixed/nglab5x_input_v5_128x_freq10_fixed
dose_128x,nglab6x_input_v5_128x_freq10,42,6.0,2000,3.70125150680542,3.614249289035797,-0.0870022177696228,data/runs_fixed/nglab6x_input_v5_128x_freq10_fixed
dose_128x,nglab8x_input_v5_128x_freq10,42,8.0,2000,3.686049699783325,3.631311297416687,-0.054738402366638184,data/runs_fixed/nglab8x_input_v5_128x_freq10_fixed
