run_id,branch,step,f,gap,shared_token_mass,shared_contexts,seed,source
s1v5_128_frequency_main,bigram,1000,128,2.2633549989624773,27008,211,42,data/runs_scaling/s1v5_128_frequency_main_fixed
s1v5_128_frequency_main,bigram,1000,417,1.6340724619540368,22101,53,42,data/runs_scaling/s1v5_128_frequency_main_fixed
s1v5_128_frequency_main,bigram,1000,160,2.407189329989736,31360,196,42,data/runs_scaling/s1v5_128_frequency_main_fixed
s1v5_128_frequency_main,bigram,1000,449,0.9727419218795451,26940,60,42,data/runs_scaling/s1v5_128_frequency_main_fixed
s1v5_128_frequency_main,bigram,1000,93,2.581296467787545,24180,260,42,data/runs_scaling/s1v5_128_frequency_main_fixed
s1v5_128_frequency_main,bigram,1000,45,2.754983953277091,13095,291,42,data/runs_scaling/s1v5_128_frequency_main_fixed
s1v5_128_frequency_main,bigram,1000,18,3.973585669935363,5778,321,42,data/runs_scaling/s1v5_128_frequency_main_fixed
s1v5_128_frequency_main,bigram,1000,11,4.041773256829021,3212,292,42,data/runs_scaling/s1v5_128_frequency_main_fixed
s1v5_128_frequency_main,bigram,1000,69,2.269787266748307,20010,290,42,data/runs_scaling/s1v5_128_frequency_main_fixed
s1v5_128_frequency_main,bigram,1000,115,2.5482055949173086,27945,243,42,data/runs_scaling/s1v5_128_frequency_main_fixed
s1v5_128_frequency_main,bigram,1000,273,2.120065861246186,25935,95,42,data/runs_scaling/s1v5_128_frequency_main_fixed
s1v5_128_frequency_main,bigram,1000,108,2.4877018689099106,27540,255,42,data/runs_scaling/s1v5_128_frequency_main_fixed
s1v5_128_frequency_main,bigram,1000,694,1.6797511396416667,16656,24,42,data/runs_scaling/s1v5_128_frequency_main_fixed
s1v5_128_frequency_main,bigram,1000,1043,5.006203257866825,6258,6,42,data/runs_scaling/s1v5_128_frequency_main_fixed
s1v5_128_frequency_main,bigram,1000,46,2.835125684880544,15778,343,42,data/runs_scaling/s1v5_128_frequency_main_fixed
s1v5_128_frequency_main,bigram,1000,278,2.29346910977167,25020,90,42,data/runs_scaling/s1v5_128_frequency_main_fixed
s1v5_128_frequency_main,bigram,1000,12,3.8751775236247554,3252,271,42,data/runs_scaling/s1v5_128_frequency_main_fixed
s1v5_128_frequency_main,bigram,1000,65,2.5166744245623702,19175,295,42,data/runs_scaling/s1v5_128_frequency_main_fixed
s1v5_128_frequency_main,bigram,1000,172,2.0514469628052003,31132,181,42,data/runs_scaling/s1v5_128_frequency_main_fixed
s1v5_128_frequency_main,bigram,1000,214,2.1266709847109775,30816,144,42,data/runs_scaling/s1v5_128_frequency_main_fixed
s1v5_128_frequency_main,bigram,1000,583,1.1169317729133916,22154,38,42,data/runs_scaling/s1v5_128_frequency_main_fixed
s1v5_128_frequency_main,bigram,1000,266,2.6553146457333785,26600,100,42,data/runs_scaling/s1v5_128_frequency_main_fixed
s1v5_128_frequency_main,bigram,1000,63,2.892944660850309,18522,294,42,data/runs_scaling/s1v5_128_frequency_main_fixed
s1v5_128_frequency_main,bigram,1000,181,2.0263656475159597,28236,156,42,data/runs_scaling/s1v5_128_frequency_main_fixed
s1v5_128_frequency_main,bigram,1000,195,1.8215346018686105,32955,169,42,data/runs_scaling/s1v5_128_frequency_main_fixed
s1v5_128_frequency_main,bigram,1000,1136,6.4966652393341064,3408,3,42,data/runs_scaling/s1v5_128_frequency_main_fixed
s1v5_128_frequency_main,bigram,1000,495,1.6512794166394487,20295,41,42,data/runs_scaling/s1v5_128_frequency_main_fixed
s1v5_128_frequency_main,bigram,1000,194,2.3949748865261484,31234,161,42,data/runs_scaling/s1v5_128_frequency_main_fixed
s1v5_128_frequency_main,bigram,1000,7801,1.5246829986572266,7801,1,42,data/runs_scaling/s1v5_128_frequency_main_fixed
s1v5_128_frequency_main,bigram,1000,370,1.1736779668618693,18500,50,42,data/runs_scaling/s1v5_128_frequency_main_fixed
s1v5_128_frequency_main,bigram,1000,142,1.8222269411133623,29962,211,42,data/runs_scaling/s1v5_128_frequency_main_fixed
s1v5_128_frequency_main,bigram,1000,411,1.7323183588321425,18495,45,42,data/runs_scaling/s1v5_128_frequency_main_fixed
s1v5_128_frequency_main,bigram,1000,61,2.469076229995047,19337,317,42,data/runs_scaling/s1v5_128_frequency_main_fixed
s1v5_128_frequency_main,bigram,1000,517,1.0299296014543091,14476,28,42,data/runs_scaling/s1v5_128_frequency_main_fixed
s1v5_128_frequency_main,bigram,1000,269,1.3336287681962384,24748,92,42,data/runs_scaling/s1v5_128_frequency_main_fixed
s1v5_128_frequency_main,bigram,1000,10,4.021248057207682,2860,286,42,data/runs_scaling/s1v5_128_frequency_main_fixed
s1v5_128_frequency_main,bigram,1000,15,3.8858993292775086,4320,288,42,data/runs_scaling/s1v5_128_frequency_main_fixed
s1v5_128_frequency_main,bigram,1000,138,2.3111147974971655,30360,220,42,data/runs_scaling/s1v5_128_frequency_main_fixed
s1v5_128_frequency_main,bigram,1000,85,2.207574313759037,26435,311,42,data/runs_scaling/s1v5_128_frequency_main_fixed
s1v5_128_frequency_main,bigram,1000,205,1.7546440809828534,31775,155,42,data/runs_scaling/s1v5_128_frequency_main_fixed
s1v5_128_frequency_main,bigram,1000,319,2.3594713016884525,25201,79,42,data/runs_scaling/s1v5_128_frequency_main_fixed
s1v5_128_frequency_main,bigram,1000,20,3.631881742376882,6320,316,42,data/runs_scaling/s1v5_128_frequency_main_fixed
s1v5_128_frequency_main,bigram,1000,64,2.3655698849487794,18240,285,42,data/runs_scaling/s1v5_128_frequency_main_fixed
s1v5_128_frequency_main,bigram,1000,826,2.8166135116056963,9086,11,42,data/runs_scaling/s1v5_128_frequency_main_fixed
s1v5_128_frequency_main,bigram,1000,102,2.3744886392702784,27030,265,42,data/runs_scaling/s1v5_128_frequency_main_fixed
s1v5_128_frequency_main,bigram,1000,604,1.0655352380126715,13892,23,42,data/runs_scaling/s1v5_128_frequency_main_fixed
s1v5_128_frequency_main,bigram,1000,56,2.2867805458831993,18088,323,42,data/runs_scaling/s1v5_128_frequency_main_fixed
s1v5_128_frequency_main,bigram,1000,685,2.6168834661895577,15070,22,42,data/runs_scaling/s1v5_128_frequency_main_fixed
s1v5_128_frequency_main,bigram,1000,840,0.4440372184348794,21840,26,42,data/runs_scaling/s1v5_128_frequency_main_fixed
s1v5_128_frequency_main,bigram,1000,119,2.148509545693922,26418,222,42,data/runs_scaling/s1v5_128_frequency_main_fixed
s1v5_128_frequency_main,bigram,1000,17,3.6823084430726576,5542,326,42,data/runs_scaling/s1v5_128_frequency_main_fixed
s1v5_128_frequency_main,bigram,1000,380,3.111841874979068,18620,49,42,data/runs_scaling/s1v5_128_frequency_main_fixed
s1v5_128_frequency_main,bigram,1000,259,1.3524676693915623,27972,108,42,data/runs_scaling/s1v5_128_frequency_main_fixed
