axis,branch,run_id,seed,step,R,K,K_over_R,collision_rate,final_train_loss,final_val_loss,final_gap,gap_337,gap_674,gap_1000,freq_index_sha256,source_code_revision,source
table_size,bigram,s1v5_128_tbl_bi1_R104000,42,1000,104000,3541098,34.04901923076923,,4.406538486480713,4.812396883964539,0.4058583974838257,-0.06716549396514893,0.12017154693603516,0.4058583974838257,763a5548f75a7e326370610112fa58f61bcaa37d5a558c33caa3c7482007673d,7583ae3222ffb4bbfb13262295a6a828e1f08d3f,data/runs_scaling/s1v5_128_tbl_bi1_R104000_fixed
table_size,bigram,s1v5_128_tbl_bi1_R1259000,42,1000,1259000,3541098,2.8126274821286734,,3.483989715576172,4.522248148918152,1.03825843334198,-0.053830623626708984,0.41214799880981445,1.03825843334198,763a5548f75a7e326370610112fa58f61bcaa37d5a558c33caa3c7482007673d,7583ae3222ffb4bbfb13262295a6a828e1f08d3f,data/runs_scaling/s1v5_128_tbl_bi1_R1259000_fixed
table_size,bigram,s1v5_128_tbl_bi1_R142000,42,1000,142000,3541098,24.93730985915493,,4.265146255493164,4.726446509361267,0.461300253868103,-0.05855691432952881,0.14809000492095947,0.461300253868103,763a5548f75a7e326370610112fa58f61bcaa37d5a558c33caa3c7482007673d,7583ae3222ffb4bbfb13262295a6a828e1f08d3f,data/runs_scaling/s1v5_128_tbl_bi1_R142000_fixed
table_size,bigram,s1v5_128_tbl_bi1_R16000,42,1000,16000,3541098,221.318625,,4.950382709503174,5.093713998794556,0.14333128929138184,-0.055370211601257324,0.020061254501342773,0.14333128929138184,763a5548f75a7e326370610112fa58f61bcaa37d5a558c33caa3c7482007673d,7583ae3222ffb4bbfb13262295a6a828e1f08d3f,data/runs_scaling/s1v5_128_tbl_bi1_R16000_fixed
table_size,bigram,s1v5_128_tbl_bi1_R1719000,42,1000,1719000,3541098,2.059975567190227,,3.42238450050354,4.561158180236816,1.1387736797332764,-0.06251037120819092,0.48261749744415283,1.1387736797332764,763a5548f75a7e326370610112fa58f61bcaa37d5a558c33caa3c7482007673d,7583ae3222ffb4bbfb13262295a6a828e1f08d3f,data/runs_scaling/s1v5_128_tbl_bi1_R1719000_fixed
table_size,bigram,s1v5_128_tbl_bi1_R194000,42,1000,194000,3541098,18.253082474226805,,4.095081806182861,4.654023766517639,0.5589419603347778,-0.05474090576171875,0.18796110153198242,0.5589419603347778,763a5548f75a7e326370610112fa58f61bcaa37d5a558c33caa3c7482007673d,7583ae3222ffb4bbfb13262295a6a828e1f08d3f,data/runs_scaling/s1v5_128_tbl_bi1_R194000_fixed
table_size,bigram,s1v5_128_tbl_bi1_R2000000,42,1000,2000000,3541098,1.770549,,3.3795692920684814,4.571051597595215,1.1914823055267334,-0.06353950500488281,0.5792940855026245,1.1914823055267334,763a5548f75a7e326370610112fa58f61bcaa37d5a558c33caa3c7482007673d,7583ae3222ffb4bbfb13262295a6a828e1f08d3f,data/runs_scaling/s1v5_128_tbl_bi1_R2000000_fixed
table_size,bigram,s1v5_128_tbl_bi1_R22000,42,1000,22000,3541098,160.959,,5.100768566131592,5.274999499320984,0.1742309331893921,-0.04784047603607178,0.032744646072387695,0.1742309331893921,763a5548f75a7e326370610112fa58f61bcaa37d5a558c33caa3c7482007673d,7583ae3222ffb4bbfb13262295a6a828e1f08d3f,data/runs_scaling/s1v5_128_tbl_bi1_R22000_fixed
table_size,bigram,s1v5_128_tbl_bi1_R2347000,42,1000,2347000,3541098,1.5087763101832126,,3.3767921924591064,4.528945803642273,1.1521536111831665,-0.05990803241729736,0.5374836921691895,1.1521536111831665,763a5548f75a7e326370610112fa58f61bcaa37d5a558c33caa3c7482007673d,7583ae3222ffb4bbfb13262295a6a828e1f08d3f,data/runs_scaling/s1v5_128_tbl_bi1_R2347000_fixed
table_size,bigram,s1v5_128_tbl_bi1_R265000,42,1000,265000,3541098,13.362633962264152,,4.011256694793701,4.6299809217453,0.6187242269515991,-0.06093645095825195,0.2279982566833496,0.6187242269515991,763a5548f75a7e326370610112fa58f61bcaa37d5a558c33caa3c7482007673d,7583ae3222ffb4bbfb13262295a6a828e1f08d3f,data/runs_scaling/s1v5_128_tbl_bi1_R265000_fixed
