family,run_id,seed,steps,final_train_loss,final_val_loss,final_gap,table_optimizer,table_betas,table_lr_scale,source
table_lr_scale,optv5c_rms_b099_s0p5,42,1000,3.5214035511016846,3.9860332012176514,0.4646296501159668,rmsprop,"0.0,0.99",0.5,data/runs_fixed/optv5c_rms_b099_s0p5_fixed
table_lr_scale,optv5c_rms_b099_s1p0,42,1000,3.264625072479248,4.122927188873291,0.858302116394043,rmsprop,"0.0,0.99",1.0,data/runs_fixed/optv5c_rms_b099_s1p0_fixed
table_lr_scale,optv5c_rms_b099_s2p0_r1,42,1000,2.882657289505005,4.433355093002319,1.5506978034973145,rmsprop,"0.0,0.99",2.0,data/runs_fixed/optv5c_rms_b099_s2p0_r1_fixed
table_lr_scale,optv5c_rms_b099_s3p0,42,1000,2.7592947483062744,4.645381927490234,1.88608717918396,rmsprop,"0.0,0.99",3.0,data/runs_fixed/optv5c_rms_b099_s3p0_fixed
table_lr_scale,optv5c_rms_b099_s4p0,42,1000,2.7571353912353516,4.829568982124329,2.072433590888977,rmsprop,"0.0,0.99",4.0,data/runs_fixed/optv5c_rms_b099_s4p0_fixed
beta2,optv5c_rms_b095_s2p0,42,1000,3.0190820693969727,4.258185625076294,1.2391035556793213,rmsprop,"0.0,0.95",2.0,data/runs_fixed/optv5c_rms_b095_s2p0_fixed
beta2,optv5c_rms_b098_s2p0,42,1000,2.936457872390747,4.396394968032837,1.4599370956420898,rmsprop,"0.0,0.98",2.0,data/runs_fixed/optv5c_rms_b098_s2p0_fixed
beta2,optv5c_rms_b099_s2p0_r1,42,1000,2.882657289505005,4.433355093002319,1.5506978034973145,rmsprop,"0.0,0.99",2.0,data/runs_fixed/optv5c_rms_b099_s2p0_r1_fixed
beta2,optv5c_rms_b0995_s2p0,42,1000,2.872103214263916,4.466314435005188,1.594211220741272,rmsprop,"0.0,0.995",2.0,data/runs_fixed/optv5c_rms_b0995_s2p0_fixed
beta2,optv5c_rms_b0999_s2p0,42,1000,2.845937728881836,4.5149513483047485,1.6690136194229126,rmsprop,"0.0,0.999",2.0,data/runs_fixed/optv5c_rms_b0999_s2p0_fixed
optimizer,optv5c_rms_b099_s2p0_r1,42,1000,2.882657289505005,4.433355093002319,1.5506978034973145,rmsprop,"0.0,0.99",2.0,data/runs_fixed/optv5c_rms_b099_s2p0_r1_fixed
optimizer,optv5c_adamw_b099_s2p0,42,1000,2.9033517837524414,4.4055702686309814,1.50221848487854,adamw,"0.0,0.99",2.0,data/runs_fixed/optv5c_adamw_b099_s2p0_fixed
optimizer,optv5c_sgd_m0_s2p0,42,1000,3.8803927898406982,3.9583664536476135,0.07797366380691528,sgd,"0.0,0.99",2.0,data/runs_fixed/optv5c_sgd_m0_s2p0_fixed
