size_x,run_id,gap_at_2000,epoch_at_2000,final_gap,final_step,final_epoch,final_train,final_val
0.25,nglab0_25x_input_fv,12.991,36,12.991,2000,36,0.376,13.367
0.5,nglab0_5x_input_fv,4.952,18,4.952,2000,18,1.776,6.728
0.75,nglab0_75x_input_fv,2.123,12,2.123,2000,12,2.972,5.095
1.0,nglab1x_v10_input,1.961,9,1.961,2000,9,2.707,4.669
1.5,nglab1_5x_input_fv,0.87,6,0.87,2000,6,2.939,3.809
2.0,nglab2x_input_v10_fv,0.502,5,0.502,2000,5,3.041,3.543
2.5,nglab2_5x_input_fv_v2,-0.027,4,0.693,3200,6,3.314,4.006
3.0,nglab3x_input_fv_v2,0.113,3,1.939,3800,6,2.025,3.965
4.0,nglab4x_input_fv_v2,-0.031,3,1.552,5000,6,2.023,3.575
5.0,nglab5x_input_fv,-0.047,2,-0.047,2000,2,3.319,3.272
6.0,nglab6x_input_fv,-0.11,2,-0.11,2000,2,3.403,3.293
8.0,nglab8x_input_fv,0.027,2,0.027,2000,2,3.204,3.231
2.5(v3),nglab2_5x_input_fv_v3,0.038,4,0.038,2000,4,3.489,3.527
3(v3),nglab3x_input_fv_v3,0.033,3,0.033,2000,3,3.288,3.321
4(v3),nglab4x_input_fv_v3,-0.038,3,-0.038,2000,3,3.301,3.262
2.5(s43),nglab2_5x_input_fv_s43,-0.02993929386138916,4,0.738,3200,6,3.326,4.065
