branch,bucket,f_lo,f_hi,n_contexts,token_mass
bigram,1,1,1,1750283,1750283
bigram,2,2,2,549693,1099386
bigram,3,3,3,269367,808101
bigram,4,4,4,162697,650788
bigram,5,5,5,109788,548940
bigram,6-8,6,8,189295,1293584
bigram,9-12,9,12,124785,1285226
bigram,13-20,13,20,117141,1867425
bigram,21-30,21,30,68411,1707020
bigram,31-50,31,50,63942,2499054
bigram,51-75,51,75,37414,2307269
bigram,76-100,76,100,21063,1833151
bigram,101-150,101,150,23638,2902102
bigram,151-200,151,200,13274,2303327
bigram,201-300,201,300,14462,3539310
bigram,301-500,301,500,12436,4796866
bigram,501-750,501,750,6600,4035037
bigram,751-1k,751,1000,3153,2696623
bigram,1k-2k,1001,2000,2180,3016994
bigram,2k-5k,2001,5000,1066,3178826
bigram,5k-10k,5001,10000,253,1740307
bigram,10k+,10001,,157,3857316
trigram,1,1,1,13830665,13830665
trigram,2,2,2,2385381,4770762
trigram,3,3,3,903877,2711631
trigram,4,4,4,475253,1901012
trigram,5,5,5,291075,1455375
trigram,6-8,6,8,445017,3024261
trigram,9-12,9,12,250227,2564234
trigram,13-20,13,20,198485,3140724
trigram,21-30,21,30,95933,2379648
trigram,31-50,31,50,73310,2834937
trigram,51-75,51,75,33123,2024605
trigram,76-100,76,100,15365,1329970
trigram,101-150,101,150,13585,1649667
trigram,151-200,151,200,5919,1023760
trigram,201-300,201,300,5099,1236085
trigram,301-500,301,500,3273,1236531
trigram,501-750,501,750,1203,722576
trigram,751-1k,751,1000,417,355198
trigram,1k-2k,1001,2000,441,601341
trigram,2k-5k,2001,5000,159,454171
trigram,5k-10k,5001,10000,19,138724
trigram,10k+,10001,,15,331057
