R,f_lo,f_hi,fbar,gap,gap_ref,s_emp,x_meanfield,load,val_tokens
1,1,2,1.0,0.03611,5.08142,0.00711,0.0,3541098.0,12905
1,2,4,2.4,-0.00434,3.85384,-0.00113,0.0,3541098.0,16563
1,4,8,5.3,-0.0201,2.92273,-0.00688,0.0,3541098.0,20656
1,8,16,11.0,-0.05142,2.06918,-0.02485,0.0,3541098.0,26025
1,16,32,22.3,-0.02471,1.48859,-0.0166,0.0,3541098.0,33169
1,32,64,44.9,-0.05122,1.075,-0.04764,0.0,3541098.0,41489
1,64,128,90.2,-0.01387,0.73858,-0.01878,0.0,3541098.0,53239
1,128,256,180.7,-0.01241,0.50917,-0.02436,0.0,3541098.0,66140
1,256,512,361.7,-0.02189,0.38501,-0.05686,1e-05,3541098.0,76469
1,512,1024,723.7,0.01143,0.2483,0.04603,1e-05,3541098.0,79555
1,1024,4096,2047.7,-0.02036,0.12509,-0.16275,4e-05,3541098.0,65387
1,4096,32768,11585.1,-0.02178,0.09638,-0.226,0.00023,3541098.0,51494
2,1,2,1.0,0.044,5.08142,0.00866,0.0,1770549.0,12905
2,2,4,2.4,-0.00259,3.85384,-0.00067,0.0,1770549.0,16563
2,4,8,5.3,-0.0172,2.92273,-0.00588,0.0,1770549.0,20656
2,8,16,11.0,-0.0523,2.06918,-0.02528,0.0,1770549.0,26025
2,16,32,22.3,-0.02125,1.48859,-0.01427,0.0,1770549.0,33169
2,32,64,44.9,-0.05066,1.075,-0.04713,0.0,1770549.0,41489
2,64,128,90.2,-0.01757,0.73858,-0.02379,0.0,1770549.0,53239
2,128,256,180.7,-0.00813,0.50917,-0.01597,1e-05,1770549.0,66140
2,256,512,361.7,-0.02034,0.38501,-0.05284,1e-05,1770549.0,76469
2,512,1024,723.7,0.01365,0.2483,0.05497,3e-05,1770549.0,79555
2,1024,4096,2047.7,-0.01976,0.12509,-0.15794,8e-05,1770549.0,65387
2,4096,32768,11585.1,-0.0224,0.09638,-0.23241,0.00047,1770549.0,51494
5,1,2,1.0,0.03569,5.08142,0.00702,0.0,708219.6,12905
5,2,4,2.4,-0.00413,3.85384,-0.00107,0.0,708219.6,16563
5,4,8,5.3,-0.01962,2.92273,-0.00671,0.0,708219.6,20656
5,8,16,11.0,-0.05104,2.06918,-0.02467,0.0,708219.6,26025
5,16,32,22.3,-0.0219,1.48859,-0.01471,0.0,708219.6,33169
5,32,64,44.9,-0.05394,1.075,-0.05018,0.0,708219.6,41489
5,64,128,90.2,-0.01543,0.73858,-0.02089,1e-05,708219.6,53239
5,128,256,180.7,-0.00918,0.50917,-0.01804,2e-05,708219.6,66140
5,256,512,361.7,-0.02247,0.38501,-0.05837,4e-05,708219.6,76469
5,512,1024,723.7,0.01249,0.2483,0.05031,7e-05,708219.6,79555
5,1024,4096,2047.7,-0.01781,0.12509,-0.1424,0.00021,708219.6,65387
5,4096,32768,11585.1,-0.021,0.09638,-0.21785,0.00116,708219.6,51494
10,1,2,1.0,0.03257,5.08142,0.00641,0.0,354109.8,12905
10,2,4,2.4,-0.00412,3.85384,-0.00107,0.0,354109.8,16563
10,4,8,5.3,-0.02288,2.92273,-0.00783,0.0,354109.8,20656
10,8,16,11.0,-0.04782,2.06918,-0.02311,0.0,354109.8,26025
10,16,32,22.3,-0.01582,1.48859,-0.01063,0.0,354109.8,33169
10,32,64,44.9,-0.05237,1.075,-0.04872,1e-05,354109.8,41489
10,64,128,90.2,-0.01509,0.73858,-0.02043,2e-05,354109.8,53239
10,128,256,180.7,-0.0139,0.50917,-0.0273,4e-05,354109.8,66140
10,256,512,361.7,-0.02275,0.38501,-0.05908,7e-05,354109.8,76469
10,512,1024,723.7,0.01243,0.2483,0.05004,0.00015,354109.8,79555
10,1024,4096,2047.7,-0.01831,0.12509,-0.14634,0.00041,354109.8,65387
10,4096,32768,11585.1,-0.02412,0.09638,-0.2503,0.00232,354109.8,51494
22,1,2,1.0,0.04177,5.08142,0.00822,0.0,160959.0,12905
22,2,4,2.4,0.00759,3.85384,0.00197,0.0,160959.0,16563
22,4,8,5.3,-0.01048,2.92273,-0.00359,0.0,160959.0,20656
22,8,16,11.0,-0.04988,2.06918,-0.0241,0.0,160959.0,26025
22,16,32,22.3,-0.02195,1.48859,-0.01475,1e-05,160959.0,33169
22,32,64,44.9,-0.048,1.075,-0.04465,2e-05,160959.0,41489
22,64,128,90.2,-0.0121,0.73858,-0.01638,4e-05,160959.0,53239
22,128,256,180.7,-0.01222,0.50917,-0.024,8e-05,160959.0,66140
22,256,512,361.7,-0.02291,0.38501,-0.0595,0.00016,160959.0,76469
22,512,1024,723.7,0.00747,0.2483,0.03007,0.00032,160959.0,79555
22,1024,4096,2047.7,-0.01752,0.12509,-0.14007,0.00091,160959.0,65387
22,4096,32768,11585.1,-0.02356,0.09638,-0.24443,0.0051,160959.0,51494
46,1,2,1.0,0.01016,5.08142,0.002,0.0,76980.391,12905
46,2,4,2.4,-0.00606,3.85384,-0.00157,0.0,76980.391,16563
46,4,8,5.3,-0.02739,2.92273,-0.00937,0.0,76980.391,20656
46,8,16,11.0,-0.0374,2.06918,-0.01807,1e-05,76980.391,26025
46,16,32,22.3,-0.02835,1.48859,-0.01904,2e-05,76980.391,33169
46,32,64,44.9,-0.02999,1.075,-0.0279,4e-05,76980.391,41489
46,64,128,90.2,-0.00551,0.73858,-0.00746,8e-05,76980.391,53239
46,128,256,180.7,-0.01343,0.50917,-0.02638,0.00017,76980.391,66140
46,256,512,361.7,-0.01856,0.38501,-0.04822,0.00033,76980.391,76469
46,512,1024,723.7,0.01384,0.2483,0.05574,0.00067,76980.391,79555
46,1024,4096,2047.7,-0.03269,0.12509,-0.26137,0.00189,76980.391,65387
46,4096,32768,11585.1,-0.02497,0.09638,-0.25907,0.01061,76980.391,51494
100,1,2,1.0,0.04252,5.08142,0.00837,0.0,35410.98,12905
100,2,4,2.4,0.00748,3.85384,0.00194,0.0,35410.98,16563
100,4,8,5.3,0.00337,2.92273,0.00115,1e-05,35410.98,20656
100,8,16,11.0,-0.03366,2.06918,-0.01627,2e-05,35410.98,26025
100,16,32,22.3,-0.01284,1.48859,-0.00863,4e-05,35410.98,33169
100,32,64,44.9,-0.02601,1.075,-0.02419,9e-05,35410.98,41489
100,64,128,90.2,0.01472,0.73858,0.01994,0.00018,35410.98,53239
100,128,256,180.7,0.00719,0.50917,0.01412,0.00036,35410.98,66140
100,256,512,361.7,0.00909,0.38501,0.02361,0.00073,35410.98,76469
100,512,1024,723.7,-0.00031,0.2483,-0.00126,0.00145,35410.98,79555
100,1024,4096,2047.7,-0.01367,0.12509,-0.10932,0.0041,35410.98,65387
100,4096,32768,11585.1,-0.02894,0.09638,-0.30029,0.02277,35410.98,51494
215,1,2,1.0,0.00781,5.08142,0.00154,0.0,16470.223,12905
215,2,4,2.4,0.023,3.85384,0.00597,1e-05,16470.223,16563
215,4,8,5.3,-0.01773,2.92273,-0.00607,2e-05,16470.223,20656
215,8,16,11.0,-0.01802,2.06918,-0.00871,5e-05,16470.223,26025
215,16,32,22.3,-0.00316,1.48859,-0.00213,0.0001,16470.223,33169
215,32,64,44.9,-0.00566,1.075,-0.00526,0.00019,16470.223,41489
215,64,128,90.2,0.00873,0.73858,0.01182,0.00039,16470.223,53239
215,128,256,180.7,0.00581,0.50917,0.01141,0.00078,16470.223,66140
215,256,512,361.7,0.01299,0.38501,0.03375,0.00156,16470.223,76469
215,512,1024,723.7,-0.00169,0.2483,-0.0068,0.00312,16470.223,79555
215,1024,4096,2047.7,-0.01974,0.12509,-0.15781,0.00878,16470.223,65387
215,4096,32768,11585.1,-0.01356,0.09638,-0.14071,0.04771,16470.223,51494
464,1,2,1.0,0.04568,5.08142,0.00899,1e-05,7631.677,12905
464,2,4,2.4,0.01102,3.85384,0.00286,2e-05,7631.677,16563
464,4,8,5.3,0.00888,2.92273,0.00304,5e-05,7631.677,20656
464,8,16,11.0,0.00959,2.06918,0.00464,0.0001,7631.677,26025
