epoch,trigram_gap,nogram_gap,net_ngram_gap,recurrence_fit,q,tau_epochs_extrapolated,plateau_extrapolated,r_squared_in_window,source
1,-0.043275476,-0.050441504,0.007166028,0.007166028,0.952702822,20.638873,23.692504,0.996993442,docs/appendices/s1_scaling_three_axis/s1_epoch_long_replay_points.csv
2,1.043555975,-0.048200727,1.091756701,1.127415662,0.952702822,20.638873,23.692504,0.996993442,docs/appendices/s1_scaling_three_axis/s1_epoch_long_replay_points.csv
3,2.515817165,-0.028625846,2.544443011,2.194680649,0.952702822,20.638873,23.692504,0.996993442,docs/appendices/s1_scaling_three_axis/s1_epoch_long_replay_points.csv
4,3.743324161,0.036383629,3.706940532,3.211467013,0.952702822,20.638873,23.692504,0.996993442,docs/appendices/s1_scaling_three_axis/s1_epoch_long_replay_points.csv
5,4.740390897,0.104632616,4.635758281,4.180162252,0.952702822,20.638873,23.692504,0.996993442,docs/appendices/s1_scaling_three_axis/s1_epoch_long_replay_points.csv
6,5.595501661,0.186376750,5.409124911,5.103040939,0.952702822,20.638873,23.692504,0.996993442,docs/appendices/s1_scaling_three_axis/s1_epoch_long_replay_points.csv
7,6.262411594,0.252033830,6.010377765,5.982270069,0.952702822,20.638873,23.692504,0.996993442,docs/appendices/s1_scaling_three_axis/s1_epoch_long_replay_points.csv
8,7.125721216,0.326246321,6.799474895,6.819914141,0.952702822,20.638873,23.692504,0.996993442,docs/appendices/s1_scaling_three_axis/s1_epoch_long_replay_points.csv
9,7.713526249,0.419716537,7.293809712,7.617940013,0.952702822,20.638873,23.692504,0.996993442,docs/appendices/s1_scaling_three_axis/s1_epoch_long_replay_points.csv
10,8.610701323,0.478656113,8.132045209,8.378221512,0.952702822,20.638873,23.692504,0.996993442,docs/appendices/s1_scaling_three_axis/s1_epoch_long_replay_points.csv
11,9.568794608,0.539625823,9.029168785,9.102543842,0.952702822,20.638873,23.692504,0.996993442,docs/appendices/s1_scaling_three_axis/s1_epoch_long_replay_points.csv
12,10.313843131,0.607999623,9.705843508,9.792607769,0.952702822,20.638873,23.692504,0.996993442,docs/appendices/s1_scaling_three_axis/s1_epoch_long_replay_points.csv
13,10.900867105,0.664000213,10.236866891,10.450033620,0.952702822,20.638873,23.692504,0.996993442,docs/appendices/s1_scaling_three_axis/s1_epoch_long_replay_points.csv
14,11.665798545,0.721271992,10.944526553,11.076365083,0.952702822,20.638873,23.692504,0.996993442,docs/appendices/s1_scaling_three_axis/s1_epoch_long_replay_points.csv
15,12.405590177,0.778811753,11.626778424,11.673072835,0.952702822,20.638873,23.692504,0.996993442,docs/appendices/s1_scaling_three_axis/s1_epoch_long_replay_points.csv
16,12.948443472,0.827223241,12.121220231,12.241557995,0.952702822,20.638873,23.692504,0.996993442,docs/appendices/s1_scaling_three_axis/s1_epoch_long_replay_points.csv
17,13.522754073,0.876544535,12.646209538,12.783155410,0.952702822,20.638873,23.692504,0.996993442,docs/appendices/s1_scaling_three_axis/s1_epoch_long_replay_points.csv
18,14.259106576,0.922268093,13.336838484,13.299136796,0.952702822,20.638873,23.692504,0.996993442,docs/appendices/s1_scaling_three_axis/s1_epoch_long_replay_points.csv
19,14.984770954,0.963071108,14.021699846,13.790713718,0.952702822,20.638873,23.692504,0.996993442,docs/appendices/s1_scaling_three_axis/s1_epoch_long_replay_points.csv
20,15.551529586,1.011544406,14.539985180,14.259040439,0.952702822,20.638873,23.692504,0.996993442,docs/appendices/s1_scaling_three_axis/s1_epoch_long_replay_points.csv
