branch,R,K,T,occupied,coll_rate,solo_frac,owner_frac
bigram,1024,3541098,49716935,1024,0.9997108241568011,0.0,0.13795605058920063
bigram,2048,3541098,49716935,2048,0.9994216483136021,0.0,0.17363260627389843
bigram,4096,3541098,49716935,4096,0.9988432966272043,0.0,0.22047225960329211
bigram,8192,3541098,49716935,8192,0.9976865932544087,0.0,0.28037182903571994
bigram,16384,3541098,49716935,16384,0.9953731865088173,0.0,0.3559309921257213
bigram,32768,3541098,49716935,32768,0.9907463730176347,0.0,0.4432819923432529
bigram,65536,3541098,49716935,65536,0.9814927460352693,0.0,0.5390843180497752
bigram,131072,3541098,49716935,131069,0.9629863392653917,3.278560916918953e-06,0.6337155739789672
bigram,262144,3541098,49716935,262126,0.9259760673101959,9.996593716004415e-06,0.7218508140133739
bigram,524288,3541098,49716935,523393,0.852194714746669,0.0017961686495758437,0.8001744274863284
bigram,1048576,3541098,49716935,1010597,0.7146091410065466,0.03280328926149611,0.8647815477764267
trigram,1024,19027841,49716934,1024,0.999946184120416,0.0,0.03303642980075964
trigram,2048,19027841,49716934,2048,0.9998923682408319,0.0,0.04461843926256595
trigram,4096,19027841,49716934,4096,0.9997847364816639,0.0,0.06027296453960737
trigram,8192,19027841,49716934,8192,0.9995694729633278,0.0,0.080535859270807
trigram,16384,19027841,49716934,16384,0.9991389459266555,0.0,0.10717235700817754
trigram,32768,19027841,49716934,32768,0.9982778918533112,0.0,0.14101070673424873
trigram,65536,19027841,49716934,65536,0.9965557837066223,0.0,0.18303763462163616
trigram,131072,19027841,49716934,131072,0.9931115674132446,0.0,0.23359413112642868
trigram,262144,19027841,49716934,262144,0.9862231348264893,0.0,0.2927964141956139
trigram,524288,19027841,49716934,524288,0.9724462696529785,0.0,0.36045726391736066
trigram,1048576,19027841,49716934,1048576,0.944892539305957,0.0,0.43662392777479
