branch,beta0,slope_soft,slope_hard,meas
bigram,0.0,0.4287,0.3173,0.5761
bigram,0.25,0.5666,0.4753,0.5761
bigram,0.318,0.6024,0.5205,0.5761
bigram,0.4,0.6438,0.576,0.5761
bigram,0.5,0.6912,0.6447,0.5761
bigram,0.6,0.7351,0.7143,0.5761
bigram,0.7,0.7754,0.7847,0.5761
bigram,0.8,0.8122,0.8559,0.5761
bigram,0.9,0.8458,0.9276,0.5761
bigram,1.0,0.8759,1.0,0.5761
trigram,0.0,0.472,0.3054,0.6648
trigram,0.25,0.6114,0.4589,0.6648
trigram,0.318,0.6478,0.5038,0.6648
trigram,0.4,0.6902,0.5594,0.6648
trigram,0.5,0.7392,0.629,0.6648
trigram,0.6,0.7844,0.7005,0.6648
trigram,0.7,0.8247,0.7736,0.6648
trigram,0.8,0.8597,0.848,0.6648
trigram,0.9,0.8891,0.9235,0.6648
trigram,1.0,0.9129,1.0,0.6648
