fbar,gap_meas,M,s_R0,val_tokens
1.0,7.16403,1.0,0.16051,12905
2.4,6.03118,0.668578,0.26341,16563
4.44,5.27798,0.577141,0.35797,11627
6.9,4.71397,0.525361,0.43335,13058
10.35,4.15687,0.482249,0.50504,13612
15.72,3.75021,0.441109,0.57845,18289
24.52,3.2997,0.404126,0.6526,21579
38.32,2.93143,0.365781,0.72032,24966
59.07,2.64476,0.3323,0.77799,27606
90.66,2.33281,0.29838,0.82664,33378
139.85,2.12481,0.267509,0.86748,37462
214.77,1.89303,0.229369,0.90018,43255
330.27,1.71769,0.200234,0.92614,46306
491.46,1.53811,0.175938,0.9449,33386
721.16,1.43144,0.154434,0.959,7748
1700.0,0.08604,0.080588,0.97969,339
12192.0,1.31423,0.040969,0.99654,323
16973.21,1.54071,0.039548,0.99747,1655
24544.13,1.29532,0.024491,0.99822,7733
