f,n_contexts,N1_types,cont_types,M,S_eff
1,13830665,13830665,13830665,1.0,1.0
2,2385381,3189488,3980125,0.668549,1.6685
3,903877,1712058,2123504,0.631376,2.3493
4,475253,1140331,1419151,0.599855,2.9861
5,291075,845488,1052875,0.580942,3.6172
6,197348,665364,831922,0.561921,4.2155
7,141179,542687,679426,0.549138,4.8125
8,106490,455642,573089,0.534841,5.3816
9,83376,393343,496202,0.524189,5.9514
10,66866,342457,433329,0.512154,6.4806
11,54630,302728,384513,0.503766,7.0385
12,45355,271217,344661,0.498322,7.5992
13,38373,244567,311651,0.490263,8.1216
14,32827,220968,282715,0.480806,8.6123
15,28592,206472,263707,0.481421,9.2231
16,24765,186312,239374,0.4702,9.6658
17,21842,173578,222812,0.46747,10.2011
18,19355,161553,207736,0.463713,10.7329
19,17147,149252,192337,0.458119,11.2169
20,15584,140781,181999,0.451684,11.6786
21,13855,129385,167897,0.444691,12.1182
22,12568,122539,158844,0.443185,12.6388
23,11368,113949,148215,0.435811,13.0379
24,10538,109600,142709,0.433352,13.5423
25,9697,103669,135367,0.427633,13.9597
26,8861,98830,128777,0.428976,14.533
27,8144,93071,121560,0.423265,14.9263
28,7518,89207,116419,0.423778,15.4854
29,6902,83653,109556,0.417935,15.8731
30,6482,81231,106256,0.417726,16.3925
31,6111,76909,101595,0.405979,16.6249
32,5663,75351,98953,0.415808,17.4736
33,5421,72295,95639,0.404124,17.6423
34,5062,69195,91257,0.402044,18.0279
35,4619,65616,86234,0.405876,18.6694
36,4347,62744,82818,0.400941,19.0518
37,4066,59422,78698,0.394983,19.3551
38,4106,61963,81759,0.397127,19.9121
39,3748,57256,76247,0.391703,20.3434
40,3473,54600,72275,0.393032,20.8105
41,3357,53788,71294,0.390796,21.2374
42,3180,51573,68673,0.386141,21.5953
43,2989,47888,64094,0.372591,21.4433
44,2773,45927,61503,0.376414,22.1792
45,2598,44100,58712,0.377213,22.5989
46,2609,45431,60654,0.378548,23.248
47,2503,44196,58801,0.375685,23.4922
48,2381,42727,57108,0.373854,23.9849
49,2229,39488,53225,0.361542,23.8784
50,2075,38109,51124,0.367316,24.6381
51,1991,37941,50810,0.373652,25.5198
52,2025,38619,51803,0.366752,25.5817
53,1843,35458,47554,0.363005,25.8025
54,1755,34327,46114,0.362214,26.2758
55,1751,35262,47387,0.366149,27.0628
56,1648,33518,44980,0.363189,27.2937
57,1583,32288,43433,0.357837,27.4371
58,1552,31633,42678,0.351415,27.4987
59,1408,29887,40098,0.359772,28.4787
60,1411,30538,41048,0.360713,29.0914
61,1313,28559,38541,0.356573,29.3534
62,1331,29674,39975,0.359589,30.0338
63,1286,29141,39057,0.359686,30.3709
64,1225,27699,37497,0.353304,30.6098
65,1125,25463,34556,0.348212,30.7164
66,1136,26983,36115,0.359888,31.7914
67,1111,26035,35179,0.349759,31.6643
68,1087,25701,34773,0.347706,31.9899
69,1031,24867,33628,0.349555,32.6169
70,989,24274,32851,0.350628,33.2164
71,913,22499,30273,0.347084,33.1577
72,958,22914,31204,0.332203,32.572
73,932,22760,31146,0.334529,33.4185
74,873,21733,29705,0.336414,34.0263
75,846,21625,29229,0.34082,34.5496
76,834,21124,28800,0.33327,34.5324
77,885,22894,31110,0.33596,35.1525
78,825,21456,29259,0.333427,35.4655
79,755,20074,27116,0.336558,35.9152
80,786,20878,28401,0.332029,36.1336
81,710,18817,25672,0.327195,36.1577
82,691,17882,24513,0.315591,35.4747
83,686,17751,24386,0.31176,35.5481
84,635,17345,23874,0.325178,37.5969
85,612,17387,23606,0.334237,38.5719
86,634,17040,23494,0.312523,37.0568
87,623,17136,23455,0.316157,37.6485
88,585,16504,22610,0.320591,38.6496
89,592,17279,23551,0.327949,39.7821
90,562,16210,22264,0.320482,39.6157
91,538,15856,21831,0.323869,40.5781
92,545,15764,21759,0.3144,39.9248
93,535,15772,21691,0.316993,40.5439
94,537,16293,22282,0.322774,41.4935
95,487,14152,19530,0.30589,40.1027
96,511,14662,20407,0.298883,39.9354
97,475,14393,19792,0.312382,41.6674
98,441,14078,19297,0.325744,43.7574
99,422,12921,17763,0.309278,42.0924
100,459,14359,19660,0.312832,42.8322
101,459,14125,19374,0.304687,42.2092
102,390,12719,17500,0.319734,44.8718
103,437,13611,18871,0.302393,43.1831
104,409,13371,18431,0.314345,45.0636
105,393,12711,17675,0.308033,44.9746
106,350,10937,15235,0.294798,43.5286
107,405,12485,17585,0.288104,43.4198
108,349,10414,14729,0.276292,42.2034
109,372,13109,17794,0.323296,47.8333
110,355,11296,15820,0.28927,44.5634
111,336,11237,15649,0.301292,46.5744
112,370,13254,17959,0.319836,48.5378
113,353,12652,17359,0.31718,49.1756
114,314,11420,15586,0.31903,49.6369
115,328,11271,15809,0.298807,48.1982
116,317,10839,15114,0.294762,47.6782
117,306,10398,14390,0.290431,47.0261
118,302,10359,14332,0.290689,47.457
119,282,10001,13937,0.298021,49.422
120,262,8885,12523,0.282602,47.7977
121,265,9182,12808,0.286356,48.3321
122,255,9536,13200,0.306525,51.7647
123,280,10646,14578,0.309117,52.0643
124,273,10446,14323,0.308579,52.4652
125,269,10113,13954,0.300758,51.8736
126,285,11356,15488,0.316235,54.3439
127,222,7659,10899,0.271654,49.0946
128,208,7890,10733,0.296349,51.601
129,243,8825,12364,0.281526,50.8807
130,234,9048,12490,0.297436,53.3761
131,242,9856,13571,0.310895,56.0785
132,244,9478,13095,0.294275,53.668
133,224,8666,12151,0.290883,54.2455
134,211,7712,10977,0.272759,52.0237
135,216,8021,11215,0.275069,51.9213
136,228,8855,12479,0.285571,54.7325
137,224,8524,11961,0.277763,53.3973
138,200,9279,12493,0.336196,62.465
139,185,7067,9991,0.27482,54.0054
140,196,8074,11139,0.294242,56.8316
141,193,7397,10472,0.271819,54.2591
142,186,7284,10348,0.275784,55.6344
