module,window,seed,n,slope,r2,rmse_log,amplitude
bigram,mult_1_16,42,13,0.42488019379884523,0.9091588999995847,0.10390539360770883,0.0013414886389288
bigram,mult_1_16,43,8,0.415481761214975,0.8035665691274847,0.17899052672670915,0.0013425429668661906
bigram,mult_1_16,44,8,0.44773805223453966,0.8743502832844313,0.147891545134037,0.0008687215823505892
bigram,mult_1_32,42,18,0.42971915678558564,0.8811774044764003,0.14459029219840094,0.001279597531099406
bigram,mult_1_32,43,10,0.431276833833079,0.8880332824929915,0.16210156700108044,0.0011307285686648068
bigram,mult_1_32,44,10,0.5220141415033324,0.8705057012775905,0.21311941399559986,0.00039142295428966275
bigram,mult_8_64,42,16,0.5736682628492702,0.6855356302512765,0.24938248361554416,0.00021896400420068221
bigram,mult_8_64,43,7,0.4667732794141102,0.9721201258487367,0.054840376146059786,0.0007492779460876958
bigram,mult_8_64,44,7,0.6398875614098789,0.6416211117973714,0.33177568550122605,9.872953334193588e-05
bigram,mult_12_48,42,11,0.5183288848649392,0.4590187636376596,0.24371226899152795,0.0004372614862790297
bigram,mult_12_48,43,5,0.42876755306768877,0.9521705642646723,0.04718171584744038,0.0011971892257672569
bigram,mult_12_48,44,5,1.002234828743554,0.7444138242068068,0.288331785278296,1.00982110784884e-06
bigram,mult_44_256,42,3,2.722265110873698,0.6561251557569151,0.2316572894291398,3.4158991592877073e-17
bigram,all,42,23,0.4926393221074618,0.8462752145945154,0.22635283066867354,0.000625880924913306
bigram,all,43,12,0.4471021627475356,0.9304571795077209,0.15273581559867697,0.000948052563685388
bigram,all,44,12,0.5783715248604443,0.854560991631626,0.29814805887320456,0.0002111655687681602
trigram,mult_1_16,42,13,0.674071183522906,0.8992077199396546,0.17459817234804617,8.328498143739499e-05
trigram,mult_1_16,43,8,0.7369647296611294,0.9880377552624531,0.07065576231647437,4.133244082213996e-05
trigram,mult_1_16,44,8,0.5793024251647723,0.9613222031719214,0.10124720319376969,0.0002484244684579088
trigram,mult_1_32,42,18,0.7113769914383716,0.9464881803865014,0.1549899919368193,5.5061266957682394e-05
trigram,mult_1_32,43,10,0.7274161669794896,0.9929219495099378,0.06501049195639697,4.58094427278808e-05
trigram,mult_1_32,44,10,0.6422445372270754,0.9716779042231661,0.11606550888182925,0.00012574726926611058
trigram,mult_8_64,42,16,0.6412983889636887,0.9455548868215492,0.09877127156724295,0.0001347350337689089
trigram,mult_8_64,43,7,0.5788475153073669,0.9711357819905316,0.06923299097391362,0.00029227054338328506
trigram,mult_8_64,44,7,0.7665778147289365,0.9936977415941459,0.04235319705758186,2.6056528884113997e-05
trigram,mult_12_48,42,11,0.7568554282658546,0.9448323010800884,0.07920892128811752,2.9775945385422475e-05
trigram,mult_12_48,43,5,0.5610581882380792,0.9418655020362228,0.06843716144251366,0.0003761033966163094
trigram,mult_12_48,44,5,0.8034377107814279,0.9902417650591278,0.03915874751937577,1.6406115324683094e-05
trigram,mult_44_256,42,3,-0.042424703801297745,0.004162303251106003,0.07713561299357945,1.6428101257694363
trigram,all,42,23,0.6936981217343464,0.9628071991139486,0.146984322786022,6.729190075357019e-05
trigram,all,43,12,0.6844600425764604,0.9893805710898169,0.08860804509773486,7.372800492378971e-05
trigram,all,44,12,0.6616783459796384,0.9825719158637314,0.11011481049444806,0.00010141586920715724
both,mult_1_16,42,13,0.5819685453186211,0.943242357063686,0.11044609134100171,0.00034890567124180893
both,mult_1_16,43,8,0.7646434350693394,0.908553493551265,0.21137254844499492,4.247227137513757e-05
both,mult_1_16,44,8,0.6071131793648104,0.9100609855328418,0.16629905680414325,0.00025686280385791904
both,mult_1_32,42,18,0.5876124990664652,0.9514401270657121,0.12163978482525697,0.0003294978304178031
both,mult_1_32,43,10,0.7977020199847247,0.9183381288366022,0.25179684145181297,2.9485034502300512e-05
both,mult_1_32,44,10,0.6091363084986192,0.9490698106894482,0.14936687113875186,0.00025145276611945487
both,mult_8_64,42,16,0.9365783118806403,0.8637712447035732,0.2387335934493924,4.281762445597592e-06
both,mult_8_64,43,7,0.6518367308092721,0.6194152975664475,0.3544724855865665,0.00015780352169367188
both,mult_8_64,44,7,0.8074208163593716,0.8920144902427826,0.1948972581803265,2.2266555755659493e-05
both,mult_12_48,42,11,0.8011065671193051,0.6668592178045065,0.24523542929536077,2.308312927174585e-05
both,mult_12_48,43,5,0.5993449259296119,0.40112610048965724,0.35955524638208153,0.00034747983055623846
both,mult_12_48,44,5,0.5879361503121101,0.9883353205584293,0.031359994330957985,0.00033964141504246633
both,mult_44_256,42,3,0.0034707016005684453,0.028474889304196394,0.002382988592118139,2.144550588690742
both,all,42,23,0.7132324661468854,0.907157395075811,0.24598247047354388,7.819572493255407e-05
both,all,43,12,0.687980223369522,0.9014313879278737,0.2842726642610264,9.936181596933248e-05
both,all,44,12,0.6849227005538207,0.9394996032862887,0.21718435333522326,0.00010819593327558534
