branch,layer,hash,row,train_tokens,val_tokens,distinct_contexts_train,distinct_contexts_val,train_mean,val_mean,gap
bigram,0,0,7180,79,86,78,85,4.7101988083507225,4.358969932855215,-0.3512288754955071
bigram,0,0,5573,55,51,53,51,5.085528262035223,3.7253189847905044,-1.3602092772447185
bigram,0,0,4848,69,77,69,76,4.549865129849185,4.894775184524524,0.34491005467533853
bigram,0,0,4768,54,44,54,44,4.989048514377187,4.6627412790601905,-0.3263072353169969
bigram,0,0,2374,102,92,102,90,4.411081352273422,4.960051998010148,0.548970645736726
bigram,0,0,2270,74,71,73,71,4.363901520202981,5.120674789371625,0.7567732691686437
bigram,0,0,7433,156,165,144,161,4.5636221541044035,4.481392421268604,-0.08222973283579993
bigram,0,0,3798,88,59,88,59,4.614226771545211,3.876326932287696,-0.7378998392575151
bigram,0,0,1046,104,68,102,67,5.130967057139899,5.481520739548347,0.35055368240844764
bigram,0,0,1375,141,144,138,142,4.564180262862368,4.506337301145929,-0.05784296171643888
bigram,0,0,1720,96,66,93,66,4.8454585750587285,4.3642652265120745,-0.48119334854665397
bigram,0,0,6896,66,72,66,72,4.716213505461135,4.424729583814042,-0.29148392164709325
bigram,0,0,3485,73,126,72,119,4.321408455094246,4.538694129173001,0.217285674078755
bigram,0,0,3082,85,79,85,79,4.367414111512549,4.501039205944236,0.13362509443168769
bigram,0,0,7747,79,59,76,59,4.6550437825602256,4.94603065199266,0.2909868694324347
bigram,0,0,7243,76,41,68,39,4.74484269512131,4.182014730645389,-0.5628279644759209
bigram,0,0,7140,74,84,69,84,5.189087816589588,4.4281077849501305,-0.7609800316394573
bigram,0,0,4786,91,35,44,35,5.036287493062216,3.6610642604862473,-1.3752232325759683
bigram,0,0,6648,109,61,62,61,3.103425758491364,4.6720855079713415,1.5686597494799774
bigram,0,0,3648,48,44,44,44,4.386478719961208,4.706125193720006,0.31964647375879807
bigram,0,0,3433,75,77,75,76,4.466763300498327,4.584260933512411,0.117497633014084
