/usr/local/lib/python3.10/dist-packages/torch/cuda/__init__.py:64: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  import pynvml  # type: ignore[import]
[nglab] device=cuda injection=input steps=1000
[nglab] fixed val batches: 4 x shape (72, 2048) + 4 freq-val batches
[nglab] grad_accum=1 train_chunks=24264 val_chunks=238824
[nglab] model params: 1675.2M
[nglab] freq-bin eval enabled (index: data/theory_zipf_iid_mainline_aligned_20260904/freq_index.npz)
[nglab] async diag worker started (diagnostic forwards: bf16)
[nglab] step   10 | train 4.8281 | val 4.7092 | gap -0.1189 | epoch 1 | lr_m 0.32 | 3s
[nglab] step   20 | train 4.1288 | val 4.1055 | gap -0.0233 | epoch 1 | lr_m 0.39 | 6s
[nglab] step   30 | train 4.0182 | val 4.0067 | gap -0.0116 | epoch 1 | lr_m 0.47 | 9s
[nglab] step   40 | train 4.0196 | val 3.9978 | gap -0.0219 | epoch 1 | lr_m 0.55 | 12s
[nglab] step   50 | train 4.0023 | val 3.9970 | gap -0.0053 | epoch 1 | lr_m 0.62 | 15s
[nglab] step   60 | train 4.0086 | val 3.9999 | gap -0.0086 | epoch 1 | lr_m 0.70 | 18s
[nglab] step   70 | train 4.0155 | val 4.0044 | gap -0.0111 | epoch 1 | lr_m 0.77 | 21s
[nglab] step   80 | train 4.0185 | val 4.0021 | gap -0.0164 | epoch 1 | lr_m 0.85 | 25s
[nglab] step   90 | train 4.0140 | val 4.0037 | gap -0.0103 | epoch 1 | lr_m 0.92 | 28s
[nglab] step  100 | train 4.0011 | val 4.0031 | gap +0.0020 | epoch 1 | lr_m 1.00 | 31s
[nglab] step  110 | train 4.0192 | val 4.0072 | gap -0.0120 | epoch 1 | lr_m 1.00 | 34s
[nglab] step  120 | train 4.0048 | val 4.0008 | gap -0.0040 | epoch 1 | lr_m 1.00 | 37s
[nglab] step  130 | train 4.0125 | val 3.9995 | gap -0.0130 | epoch 1 | lr_m 1.00 | 40s
[nglab] step  140 | train 4.0044 | val 3.9998 | gap -0.0046 | epoch 1 | lr_m 1.00 | 43s
[nglab] step  150 | train 4.0163 | val 4.0271 | gap +0.0108 | epoch 1 | lr_m 1.00 | 46s
[nglab] step  160 | train 4.0010 | val 3.9992 | gap -0.0019 | epoch 1 | lr_m 1.00 | 49s
[nglab] step  170 | train 4.0036 | val 3.9995 | gap -0.0041 | epoch 1 | lr_m 1.00 | 53s
[nglab] step  180 | train 4.0117 | val 3.9994 | gap -0.0123 | epoch 1 | lr_m 1.00 | 56s
[nglab] step  190 | train 4.0073 | val 4.0010 | gap -0.0063 | epoch 1 | lr_m 1.00 | 59s
[nglab] step  200 | train 4.0089 | val 4.0031 | gap -0.0058 | epoch 1 | lr_m 1.00 | 62s
[nglab] step  210 | train 4.0162 | val 3.9994 | gap -0.0168 | epoch 1 | lr_m 1.00 | 65s
[nglab] step  220 | train 4.0141 | val 3.9991 | gap -0.0151 | epoch 1 | lr_m 1.00 | 68s
[nglab] step  230 | train 4.0150 | val 3.9997 | gap -0.0153 | epoch 1 | lr_m 1.00 | 71s
[nglab] step  240 | train 4.0094 | val 3.9999 | gap -0.0095 | epoch 1 | lr_m 1.00 | 74s
